Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16-12-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,13.95691621,15.80833476,15.64638151,13.86194562,14.4923348,14.24808612,17.68382963,14.74916054,18.04927035,19.27499004,20.18601263,20.53431903,19.72892449,23.70450146,23.27570604,21.26993154,23.44731396,23.54045379,19.81030611,20.37973333,23.38587982,19.426686,21.59642159,19.7006591,24.01141158,23.33627527,21.1173539,26.35182082,18.94681472,17.19871966,23.6266466,27.1831791,50.13577771,64.08999364,62.73118716,74.96745889,72.82938183,75.32608319,70.27615586,72.23412045,85.30985449,83.20008495,98.06151568,93.98589788,101.1362858,104.8729792,102.4170516,99.07124154,105.2645813,91.21490176,108.1086901,100,100,100,100,100,100,100,100,100,,,
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,43.24,44.13,43.02,46.91,48.58,47.74,53.23,54.52,56.01,51.11,46.46,54,58.51,60.76,62.45,66.43,55.91,61.85,59.75,58.5,56.84,55.24,53.68,52.44,50.19,48.16,48.22,45.92,43.94,43.93,56.36,53.68,56.4,57.66,58.56,58.94,61.62,63.39,59.18,50.23,52.08,62.38,67.97,60.62,75.85,72.48,82.92,72.17,91.03,87.58,79.35,94.49,93.56,100.31,95.65,104.04,99.21,94.89,115.78,121.77,125.67,121.34,
Africa Western and Central,AFW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Angola,AGO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,19.13,20.45,19.87,21.57,22.35,23.37,24.1,23.03,24.74,25.06,25.92,24.81,25.35,25.63,21.7,17.03,16.09,15.1,13.53,14.04,12.59,12.55,12.55,12.73,12.72,13.32,13.4,13.41,13.25,12.9,13.8,14.79,14.72,18.03,18.06,18.54,18.07,21.99,20.9,25.49,30.81,36.2,40.15,45.52,49.15,50.36,58.33,62.17,81.2,86.14,95.31,76.61,108.18,94,100.89,105.11,104.58,107.34,109.43,115.08,116.22,122.45,
Albania,ALB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,22.71,24.88,24.23,28.69,26.29,31.41,31.79,33.04,33.71,34.85,35.48,37.28,40.57,41.39,42.35,47.14,49.7,50.43,51.8,48.98,50.89,53.23,59.51,54.66,54.63,55.17,55.99,48.17,56.43,50.48,36.67,40.49,47.85,47.92,48.99,48.67,50.39,53.84,49.57,51.88,53.23,52.12,54.89,58.48,58.38,61.97,61.1,70.64,75.19,82.74,87.45,93.86,93.67,95.94,99.91,104.15,105.84,106.17,107.67,114.06,114.68,121.68,
Andorra,AND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,31.39769461,35.60223669,35.23100622,31.18285627,32.62660013,32.01668678,39.74751292,33.15746628,40.57426816,43.31969835,45.3778338,46.15002298,44.33172969,53.30372746,52.34204814,47.80501023,52.69780117,52.93024007,44.51919881,45.81449464,52.55262671,43.63036838,48.55331087,44.28074178,54.02502405,52.50268694,47.47514001,59.27814006,42.53044307,38.62621725,53.134832,61.21916632,50.08704826,64.06438311,62.71517618,74.98431912,72.81332401,75.33510536,70.27128973,72.22077762,85.29590635,83.19466949,98.06260051,93.98682728,101.1363144,104.8695168,102.4187358,99.071039,105.265812,91.19331078,108.1284217,100,100,100,100,100,100,100,100,100,,,
United Arab Emirates,ARE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,1.64,1.76,1.89,2.01,2.02,2.59,2.78,3.03,3.49,4.03,4.5,4,4.72,7.62,8.29,9.63,11.41,15.92,18.97,22.4,25.07,32.92,37.39,32.75,33.28,33.84,32.38,44.66,52.11,53.66,68.43,90.57,96.08,100.67,118.42,126.86,160.53,163.52,275.44,355.97,214.47,202.8,186.66,203.61,200.53,180.5,177.96,188.11,180.16,192.08,70.02,65.99,67.83,90.32,104.59,105.09,98.67,98.98,102.45,108.17,113.32,116.03,
Argentina,ARG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,,19.65,20.05,22.27,23.68,21.26,22.6,25.49,22,23.31,25.2,26.33,23.94,27.04,30.18,28.91,31.22,30.78,33.19,34.57,30.67,34.28,39.63,38.5,39.87,38.19,38.36,37.44,41,34.6,39.14,42.3,43.01,40.78,43.86,49.49,47.35,53.49,61.75,59.74,60.89,63.93,65.11,67.6,66.46,77.46,75.44,85.6,87.18,62.18,86.69,93.46,82.09,90.59,94.16,104.14,101.71,106.82,92.2,113.14,106.59,107.19,107.33,
